AKST,最高温度C,平均温度C,最低温度C,露点C,MeanDew PointC,Min DewpointC,Max 湿度, Mean 湿度, Min 湿度, Max 海平面气压hPa, Mean 海平面气压hPa, Min 海平面气压hPa, Max 能见度Km, Mean 能见度Km, Min 能见度kM, Max 风速Km/h, Mean 风速Km/h, Max 瞬间风速Km/h,降水量mm, CloudCover, 活动,WindDirDegrees<br />
2014-1-1,8,6,3,4,3,2,97,86,76,1014,1008,1001,16,12,4,40,23,58,17.53,8,中雨,138<br />
2014-1-2,5,3,2,3,2,0,97,89,76,1019,1012,1009,16,15,6,23,11,35,8.64,8,中雨,92<br />
2014-1-3,4,2,1,3,2,1,100,97,93,1030,1027,1019,16,14,4,13,5,,0.51,7,中雨,102<br />
2014-1-4,6,3,1,2,1,-1,97,82,62,1030,1027,1023,16,16,16,32,10,40,0.00,6,中雨,107<br />
2014-1-5,7,6,5,6,2,0,97,77,63,1023,1016,1012,16,13,3,42,27,58,9.40,8,中雨,113<br />
2014-1-6,7,6,5,6,5,3,100,93,82,1016,1013,1008,16,12,3,23,10,,13.21,8,中雨,111<br />
2014-1-7,7,6,4,5,4,3,100,92,76,1008,1006,1001,16,11,4,34,13,39,8.38,8,中雨,119<br />
2014-1-8,7,6,4,4,4,2,100,92,71,1000,991,987,16,15,10,23,6,,11.18,8,中雨,4<br />
2014-1-9,5,4,3,4,2,1,97,87,73,1000,995,988,16,14,8,29,11,23,9.91,8,中雨,269<br />
2014-1-10,4,2,-1,2,1,-1,97,93,79,1002,999,986,16,15,6,21,10,,6.10,7,中雨,89<br />
2014-1-11,2,0,-1,1,0,-2,100,95,81,993,989,986,16,9,0,21,5,,7.11,7,雾-中雨-中雪,92<br />
2014-1-12,6,3,1,4,2,-1,93,82,68,1002,990,984,16,13,4,42,26,60,6.10,8,中雨-中雪,258<br />
2014-1-13,9,6,3,8,3,1,93,85,73,1017,1010,1003,16,10,3,50,27,72,37.59,8,中雨,182<br />
2014-1-14,9,7,6,8,6,1,100,87,68,1023,1005,996,16,7,2,47,32,72,91.19,8,中雨,211<br />
2014-1-15,9,7,5,5,3,2,93,83,68,1027,1025,1018,16,14,6,26,16,37,6.10,8,中雨,140<br />
2014-1-16,11,9,8,7,6,4,93,82,71,1020,1017,1015,16,12,3,40,24,64,6.10,8,中雨,132<br />
2014-1-17,13,10,7,6,2,-3,96,61,33,1019,1010,1001,16,15,5,40,21,55,2.29,4,中雨,107<br />
2014-1-18,9,7,4,7,4,2,97,89,71,1019,1011,1000,16,12,5,27,18,37,15.49,8,中雨,186<br />
2014-1-19,7,5,3,3,1,-1,93,77,58,1022,1021,1019,16,16,13,26,14,,2.54,7,中雨,108<br />
2014-1-20,8,7,5,5,2,1,96,76,65,1021,1018,1014,16,16,13,34,18,42,8.64,7,中雨,103<br />
2014-1-21,12,10,8,3,2,0,68,56,43,1015,1013,1011,16,16,16,32,26,40,0.00,7,中雨,110<br />
2014-1-22,12,10,9,9,6,3,89,76,61,1023,1020,1016,16,13,5,42,23,61,31.50,8,中雨,124<br />
2014-1-23,13,10,7,9,8,6,96,83,75,1030,1027,1023,16,14,4,37,21,53,4.32,7,中雨,168<br />
2014-1-24,9,7,4,6,4,3,96,90,77,1030,1028,1025,16,15,10,16,5,,0.00,0,,16<br />
2014-1-25,8,6,3,5,4,2,100,93,80,1024,1023,1022,16,16,11,8,3,,0.00,0,,3<br />
2014-1-26,8,4,2,4,3,2,100,88,71,1024,1019,1012,16,16,16,14,3,,0.00,0,,18<br />
2014-1-27,13,10,7,6,3,0,90,64,40,1017,1014,1012,16,16,13,24,14,24,0.00,5,中雨,34<br />
2014-1-28,7,6,3,6,5,2,100,95,92,1021,1020,1017,16,12,3,14,5,,13.72,7,中雨,31<br />
2014-1-29,6,3,1,3,1,1,100,89,71,1021,1019,1017,16,12,0,23,6,,0.00,6,雾,26<br />
2014-1-30,6,2,-1,2,0,-2,96,89,70,1020,1019,1017,16,16,16,8,3,,0.00,0,,101<br />
2014-1-31,3,0,-2,0,-1,-2,96,89,82,1021,1020,1019,16,16,16,14,5,,0.00,6,中雨,96<br />
2014-2-1,4,1,-2,-1,-2,-4,96,85,70,1026,1023,1021,16,16,16,10,3,,0.00,1,,85<br />
2014-2-2,6,2,-2,-4,-7,-9,85,61,34,1029,1027,1025,16,16,16,13,6,,0.00,0,,90<br />
2014-2-3,3,1,-1,-9,-11,-14,54,42,32,1034,1032,1029,16,16,16,21,10,34,0.00,1,,91<br />
2014-2-4,1,-1,-4,-12,-14,-17,53,37,26,1037,1036,1035,16,16,16,16,11,,0.00,0,,92<br />
2014-2-5,2,-2,-5,-12,-14,-17,58,39,27,1036,1035,1032,16,16,16,16,8,,0.00,0,,83<br />
2014-2-6,0,-3,-6,-8,-11,-13,75,56,40,1031,1022,1011,16,16,16,13,6,,0.00,0,,99<br />
2014-2-7,2,-1,-5,-4,-7,-9,85,70,59,1018,1014,1011,16,16,16,11,6,,0.00,3,,108<br />
2014-2-8,1,-3,-6,-8,-9,-12,82,61,40,1021,1019,1017,16,16,16,14,6,,0.00,2,,96<br />
2014-2-9,-2,-3,-4,-9,-13,-16,66,46,38,1017,1014,1011,16,16,16,35,18,48,0.00,4,,102<br />
2014-2-10,0,-2,-6,-13,-17,-19,51,36,28,1011,1004,999,16,16,16,27,16,40,0.00,1,,81<br />
2014-2-11,-2,-4,-7,-8,-12,-16,75,57,45,1006,999,992,16,16,16,29,13,37,0.00,1,,63<br />
