AKDT,最高温度C,平均温度C,最低温度C,露点C,MeanDew PointC,Min DewpointC,Max 湿度, Mean 湿度, Min 湿度, Max 海平面气压hPa, Mean 海平面气压hPa, Min 海平面气压hPa, Max 能见度Km, Mean 能见度Km, Min 能见度kM, Max 风速Km/h, Mean 风速Km/h, Max 瞬间风速Km/h,降水量mm, CloudCover, 活动,WindDirDegrees<br />
2014-7-1,18,13,10,12,11,9,96,83,58,1022,1016,1009,16,16,16,11,6,,0.00,7,,337<br />
2014-7-2,22,17,13,13,11,8,96,80,51,1009,1007,1004,16,14,2,21,8,,3.56,7,中雨,327<br />
2014-7-3,18,14,12,13,12,11,97,85,72,1012,1011,1009,16,16,13,24,6,,0.25,6,,258<br />
2014-7-4,15,13,11,11,11,10,96,88,75,1013,1012,1011,16,14,3,14,3,,1.78,7,中雨,255<br />
2014-7-5,21,15,10,11,10,8,96,72,49,1012,1010,1009,16,16,16,21,8,,0.00,6,,110<br />
2014-7-6,17,14,13,11,10,8,80,71,58,1020,1018,1012,16,16,16,32,16,47,0.00,6,中雨,213<br />
2014-7-7,16,14,13,13,12,11,96,87,75,1019,1018,1017,16,15,6,26,6,40,3.56,8,中雨,211<br />
2014-7-8,13,12,12,12,12,11,100,94,86,1019,1018,1017,16,10,3,19,8,37,21.34,8,中雨,159<br />
2014-7-9,14,13,12,13,12,11,100,96,83,1024,1022,1020,16,11,2,14,8,,3.30,8,中雨,201<br />
2014-7-10,16,13,12,12,11,11,100,90,75,1024,1022,1017,16,13,2,13,5,,0.76,8,中雨,215<br />
2014-7-11,14,13,12,13,12,11,100,94,84,1016,1016,1015,16,8,3,19,8,,32.51,8,中雨,250<br />
2014-7-12,15,13,13,14,13,13,100,97,93,1022,1018,1015,16,9,3,24,11,42,8.13,8,中雨,275<br />
2014-7-13,14,13,13,14,13,13,100,98,94,1024,1023,1022,16,8,1,13,6,,7.37,8,中雨,291<br />
2014-7-14,16,14,13,14,13,11,100,94,83,1024,1024,1023,16,11,0,26,6,,0.25,8,雾,307<br />
2014-7-15,18,14,13,12,11,9,93,78,64,1025,1024,1024,16,16,16,27,19,,0.00,6,,318<br />
2014-7-16,16,13,11,11,9,8,89,76,64,1025,1024,1021,16,16,16,24,10,,0.00,6,,294<br />
2014-7-17,15,13,11,11,10,9,93,84,75,1021,1017,1010,16,15,10,14,5,,2.79,7,中雨,232<br />
2014-7-18,17,13,11,12,11,10,100,84,67,1009,1005,1004,16,16,11,16,8,,1.27,6,中雨,299<br />
2014-7-19,16,14,12,13,12,11,97,88,75,1013,1010,1005,16,14,4,14,3,,0.00,8,,292<br />
2014-7-20,14,13,11,12,11,10,94,89,77,1013,1011,1008,16,13,3,21,6,,7.87,8,中雨,155<br />
2014-7-21,21,16,11,12,11,10,97,77,52,1015,1012,1008,16,16,16,21,6,,0.00,5,,297<br />
2014-7-22,17,15,13,13,12,11,90,84,77,1020,1017,1015,16,16,16,14,5,,0.00,6,中雨,240<br />
2014-7-23,17,14,13,12,11,10,87,80,72,1019,1017,1014,16,16,16,13,5,,0.00,7,,230<br />
2014-7-24,15,14,12,12,11,11,94,84,78,1014,1013,1012,16,15,5,27,6,45,1.52,8,中雨,207<br />
2014-7-25,14,13,12,13,12,11,100,92,81,1013,1011,1010,16,13,4,21,5,,13.46,8,中雨,141<br />
2014-7-26,14,13,12,14,13,12,100,96,93,1014,1013,1011,16,12,2,24,8,39,14.48,8,中雨,216<br />
2014-7-27,16,14,13,13,12,12,100,92,78,1019,1017,1015,16,14,3,21,8,,7.62,8,中雨,213<br />
2014-7-28,15,13,12,14,12,11,97,94,90,1018,1016,1014,16,13,3,14,5,,15.49,8,中雨,261<br />
2014-7-29,16,13,11,12,11,9,96,89,75,1020,1016,1014,16,14,5,23,6,,6.35,6,中雨,153<br />
2014-7-30,16,14,12,13,12,11,97,88,78,1026,1024,1021,16,16,13,13,6,,2.03,7,中雨,160<br />
2014-7-31,19,14,10,13,11,9,100,86,65,1026,1026,1025,16,14,5,16,6,,0.00,3,,217<br />
